iter	Passed	Remaining
0	4	414
1	7	367
2	13	429
3	15	366
4	18	343
5	20	318
6	23	318
7	29	341
8	46	470
9	49	445
10	63	517
11	67	498
12	73	490
13	76	470
14	79	449
15	82	431
16	85	416
17	95	433
18	100	426
19	112	451
20	122	461
21	126	447
22	129	432
23	133	421
24	143	429
25	153	438
26	157	424
27	179	462
28	185	453
29	189	442
30	194	433
31	202	430
32	205	416
33	207	403
34	215	400
35	218	388
36	220	376
37	223	365
38	290	454
39	292	439
40	296	426
41	297	410
42	299	397
43	301	383
44	303	371
45	306	359
46	309	349
47	315	341
48	317	330
49	320	320
50	322	310
51	380	351
52	383	339
53	385	328
54	386	316
55	389	306
56	393	296
57	396	286
58	398	276
59	400	267
60	409	261
61	413	253
62	415	244
63	417	235
64	430	231
65	432	222
66	434	213
67	439	206
68	444	199
69	446	191
70	449	183
71	454	176
72	460	170
73	464	163
74	467	155
75	472	149
76	476	142
77	479	135
78	482	128
79	486	121
80	547	128
81	551	121
82	553	113
83	556	105
84	562	99
85	566	92
86	635	95
87	638	87
88	640	79
89	645	71
90	647	64
91	653	56
92	656	49
93	659	42
94	662	34
95	665	27
96	667	20
97	677	13
98	730	7
99	738	0
